| 1 |	| 2 |	| 3 |	| 4 |	| 5 |	| 6 |	| 7 |	| 8 |	| 9 |	| 10 |
| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	
| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	
| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	
| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	
| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	
| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	
| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	
| G |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	
| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	
| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	
| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	
| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	
| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	
| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	
| P |	| P |	| P |	| G |	| P |	| P |	| P |	| P |	| P |	| P |	
| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	
| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	
| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	
| P |	| P |	| P |	| G |	| P |	| P |	| P |	| P |	| P |	| P |	
| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| G |	
| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	
| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	
| P |	| P |	| P |	| P |	| P |	| P |	| P |	| G |	| P |	| P |	
| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	
| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	
| P |	| G |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	
| P |	| P |	| P |	| P |	| G |	| P |	| P |	| P |	| P |	| P |	
| P |	| P |	| P |	| G |	| P |	| P |	| P |	| P |	| P |	| P |	
| P |	| P |	| G |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	
| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	
| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	
| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	
| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	
| P |	| P |	| P |	| P |	| P |	| G |	| P |	| P |	| P |	| P |	
| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	
| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	
| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| G |	| P |	
| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	
| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| G |	| G |	
| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	
| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	
| P |	| G |	| P |	| P |	| P |	| G |	| G |	| P |	| P |	| P |	
| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| G |	
| P |	| G |	| P |	| P |	| P |	| G |	| P |	| P |	| P |	| P |	
| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| G |	
| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	
| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	
| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	
| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	
| G |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	
| P |	| P |	| P |	| P |	| G |	| P |	| P |	| P |	| P |	| P |	
| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	
| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	
| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	
| P |	| P |	| G |	| P |	| P |	| P |	| P |	| P |	| G |	| P |	
| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	| P |	
